(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0FD9TKCYT,B0CHJ3W9SQ,"NewEleven Gifts For Coworker Friends – Work Bestie Gifts For Women Friendship - Unique Present Ideas For Coworker Leaving, Going Away, Goodbye, Farewell Party – 20 Oz Tumbler",LA-XF5O-M492,15,0,0.29%,0.00%,22,0,0.32%,0.00%,100.00%,0.00%,1,0,6.67%,0.00%,$19.98,$0.00,1,0
B0F9W75LLW,B0CKYJ8WLN,"NewEleven Fathers Day Gift For Grandpa From Granddaughter, Grandson - Birthday Present Ideas For Grandfather, New Grandfather, Promoted To Granddad, Grandchildren, Grandkids - 20 Oz Tumbler",FM-KSML-Z7CU,11,0,0.21%,0.00%,14,0,0.21%,0.00%,100.00%,0.00%,1,0,9.09%,0.00%,$17.98,$0.00,1,0
B0D6W5M4BP,B0CKYL86S1,"NewEleven Birthday Gifts For Men, Women - Gifts For Dad, Grandpa, Husband - Thank You Gift, Appreciation Gift, Best Birthday Present For Dad, Father, Boss, Coworker, Teacher - Beer Mug",TQ-XEIJ-MYZO,1,1,0.02%,1.43%,1,1,0.01%,1.12%,100.00%,100.00%,1,0,100.00%,0.00%,$12.99,$0.00,1,0
B0FJDLVWD4,B0CN926PG1,"NewEleven Gifts For Brothers From Sister, Bro - Best Birthday Gift For Big, Little Brother, Siblings, Brothers In Law, Men - 20 Oz Tumbler Navy",1O-O788-ZCZU,4,1,0.08%,1.43%,5,1,0.07%,1.12%,100.00%,0.00%,1,0,25.00%,0.00%,$19.98,$0.00,1,0
B0F9W75LLW,B0CRKR75LJ,"NewEleven Gifts For Grandma - Grandmother Birthday Gifts, Gift for Grandma From Granddaughter Grandson - Presents For Nana, Gigi, Mimi, Grammy, New Grandmother - 20 Oz Tumbler",XF-QHNV-2YN6,2,0,0.04%,0.00%,3,0,0.04%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,$16.98,$0.00,1,0
B0FJDLVWD4,B0CY4HY9KC,"NewEleven Gifts For Him, Men - Fishing Gifts For Men, Dad, Cup Gift For Fisherman, Father - Dad Birthday Gift From Wife, Kids - 20 Oz Tumbler",KK-1KUK-ZBSZ,5,0,0.10%,0.00%,6,0,0.09%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,$15.98,$0.00,1,0
B0FG7PKPXP,B0D1GF81G8,"NewEleven Gifts For Nurse - Nursing Graduation Gift For Women Her - Caregiver Appreciation Gifts, Nursing Student, New Nurses, Nurse Practitioner, RN - 16 Oz Coffee Glass",WJ-F0KW-EYOB,14,0,0.27%,0.00%,16,0,0.24%,0.00%,100.00%,0.00%,1,0,7.14%,0.00%,$9.99,$0.00,1,0
B0D83GTKZK,B0D1GH6WJ6,"NewEleven 40th Birthday Gifts Women Men - 1985 40th Birthday Decorations For Men Women - Gifts For Men Women Turning 40-40 Year Old Gift For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler",ZV-XJ69-4UIW,7,0,0.14%,0.00%,7,0,0.10%,0.00%,100.00%,0.00%,1,0,14.29%,0.00%,$14.98,$0.00,1,0
B0DVYKZQJ5,B0D2NSHWZK,"NewEleven Gifts For Godmother - Will You Be My Godmother From GodChild - Pregnancy Announcement Gifts For Godmom, Godparents - 16 Oz Coffee Glass",J5-EJIM-0Y8E,15,0,0.29%,0.00%,18,0,0.27%,0.00%,100.00%,0.00%,1,0,6.67%,0.00%,$12.98,$0.00,1,0
B0FFH2DPYK,B0D5YHG24C,"NewEleven 50th Birthday Gifts For Women, 50th Birthday Decorations, 50 Years Old Gifts For Her, Sister, Mom, Bestie, 1975 Birthday Gift For Women, Fifties Wine Tumbler - 12 Oz Tumbler",V3-2DHI-A0G1,12,1,0.23%,1.43%,12,1,0.18%,1.12%,100.00%,100.00%,1,0,8.33%,0.00%,$16.98,$0.00,1,0
B0DJSXDDTF,B0D6GGZ5TL,"NewEleven Gifts New Home - Best Housewarming Gifts 2025, Housewarming Gift - Presents for Homeowners, First House Gift - New Home Candle",IV-JPRM-B4VI,5,0,0.10%,0.00%,7,0,0.10%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,$15.98,$0.00,1,0
B0DBQ2YF28,B0DBQ2YF28,"NewEleven Gifts for Couple Gifts, 40 Scratch Off Date Night Ideas - Couple Games, for Boyfriend, Girlfriend - Wedding Gifts for Couples 2025 - Scratch Off Card Game",RV-RE7W-OSYS,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,$5.99,$0.00,1,0
B0FD9QBGZH,B0DH87FYNN,"NewEleven 60th Birthday Gifts For Men Women - 1965 60th Birthday Decorations For Him Her - Turning 60 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler",UM-NFPU-HUFM,25,0,0.49%,0.00%,36,0,0.53%,0.00%,100.00%,0.00%,1,0,4.00%,0.00%,$19.98,$0.00,1,0
B0F3886BZJ,B0DJY2BVJB,"NewEleven Gifts for Friends, BFF, Coworker for Women, Appreciation Gifts, Thank You for Women - Best Friend Birthday Gift - Glass Christmas Ornament 2025",R8-Q5WC-138Q,1,0,0.02%,0.00%,1,0,0.01%,0.00%,100.00%,0.00%,4,0,400.00%,0.00%,$31.96,$0.00,1,0
B0F3D315RZ,B0DK16MCXG,"NewEleven Women - Friend Gifts Ornaments 2025 - Friendship Gifts for Friends, Birthday Gift for Women, Besties, Soul Sisters - Ceramic Christmas Ornaments",JC-JJYR-OWD3,6,0,0.12%,0.00%,7,0,0.10%,0.00%,100.00%,0.00%,3,0,50.00%,0.00%,$14.97,$0.00,1,0
B0F4CLW9JM,B0DK16SMD9,"NewEleven Engagement Gifts for Couples 2024 - First Christmas Engaged Gifts for Her - Engagement Gift for Newly Engaged Couples, Her, Women, Friends, Bride to Be Gift, Glass Christmas Ornaments",Q6-R02W-6Y1G,6,0,0.12%,0.00%,8,0,0.12%,0.00%,100.00%,0.00%,1,0,16.67%,0.00%,$7.99,$0.00,1,0
B0DQ42YY8T,B0DQ42YY8T,"NewEleven Gifts for Women, Gift for Her, Mom, Friends, A Year of Promises of God Bible Scripture Memory Verse Cards Set of 52 - Christian, Religious, Inspirational Gifts for Women",GQ-R013-PDDU,5,0,0.10%,0.00%,8,0,0.12%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,$9.98,$0.00,1,0
B0F3886BZJ,B0DQ8L1DQW,NewEleven 50th Birthday Gifts for Her,5L-JJQW-3R4J,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,$4.99,$0.00,1,0
B0F4CLW9JM,B0DR1SNKVX,"NewEleven Engagement Gifts for Couples 2025 - Gift for Newly Engaged Couples, Happy Engagement Gifts for Her, Women, Friends, Bride to Be Gift, Glass Christmas Ornaments",4L-EMQE-OQ2Y,4,0,0.08%,0.00%,4,0,0.06%,0.00%,100.00%,0.00%,1,0,25.00%,0.00%,$9.99,$0.00,1,0
B0F4CLW9JM,B0DRT2D2ZB,"NewEleven Wedding Gifts - Mr and Mrs, Bridal Shower Decorations - Wedding Gifts for Couples 2025, Bride Gift for Friends - Just Married Glass 2025 Ornament",GU-M8AT-5NTK,8,0,0.16%,0.00%,10,0,0.15%,0.00%,100.00%,0.00%,1,0,12.50%,0.00%,$9.99,$0.00,1,0
B0F4CLW9JM,B0DRT3MK34,"NewEleven Engagement Gifts for Couples 2025 - Gift for Newly Engaged Couples, Happy Engagement Gifts for Her, Women, Friends, Bride to Be Gift, Glass Ornament",87-ARXM-YV1I,17,0,0.33%,0.00%,31,0,0.46%,0.00%,100.00%,0.00%,1,0,5.88%,0.00%,$9.99,$0.00,1,0
B0FD9TKCYT,B0DWN2GX75,"NewEleven Nurse Gifts For Women, Nursing Student, Nurses Practitioner, Registered Nurses - Nurse Appreciation Gifts For Women From Friends, Family And Coworker - 20 Oz Tumbler",P3-U5Q5-Y2JP,7,0,0.14%,0.00%,8,0,0.12%,0.00%,100.00%,0.00%,1,0,14.29%,0.00%,$12.98,$0.00,1,0
B0F8HV7YGQ,B0DXVPDSJK,"NewEleven Gifts For Mom From Husband Daughter, Son - Mom Birthday Gifts, Unique Present For Wife, Mama, Women - 20 Oz Tumbler",KE-3OXS-UDHH,1,0,0.02%,0.00%,1,0,0.01%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,$16.98,$0.00,1,0
B0FHKT7T9Q,B0F2TC6CP7,"NewEleven Funny Gifts For Mom, Mothers Day Card For Mom From Daughter, Kids On Mother's Day - Funny Mothers Day Gifts, Birthday Present, Humorous Greeting Cards For Mother",GI-HLHH-RG89,10,0,0.19%,0.00%,11,0,0.16%,0.00%,100.00%,0.00%,1,0,10.00%,0.00%,$7.99,$0.00,1,0
B0F9WD297S,B0F2TD6J1Q,"NewEleven Mother's Day Card, Mother Daughter Gift, Gifts For Mom From Daughter - Unique Mom Gift For Mother's Day, Heartfelt Message To Moms - Greeting Card",JR-0H6N-UXCH,1,0,0.02%,0.00%,1,0,0.01%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,$7.99,$0.00,1,0
B0FHKT7T9Q,B0FC5MVV3Q,"NewEleven Birthday Gifts For Women - Humorous Message, Funny Birthday Gift Card For Men, Women, Dad, Mom, Brother, Sister, Friends, Family - Greeting Card",H4-ZU99-Z57Y,17,0,0.33%,0.00%,18,0,0.27%,0.00%,100.00%,0.00%,1,0,5.88%,0.00%,$5.99,$0.00,1,0
B0FHKT7T9Q,B0FC5TBFWB,"NewEleven Dog Dad Gifts For Men - Humorous Present, Cute Birthday Gifts For Dog Lovers, Husband, Him - Funny Dog Dad Card From Friend, Family - Greeting Card",60-KN47-M9LV,10,0,0.19%,0.00%,13,0,0.19%,0.00%,100.00%,0.00%,1,0,10.00%,0.00%,$6.99,$0.00,1,0
B0FH6R5YTH,B0FC5TLHKZ,"NewEleven Funny Boss Gifts - Appreciaton Card, Boss Birthday Card For Men, Women, Manager - Supervisor Gifts For Women From Coworker, Colleague - Greeting Card",RT-64X6-JD53,16,0,0.31%,0.00%,18,0,0.27%,0.00%,100.00%,0.00%,1,0,6.25%,0.00%,$4.99,$0.00,1,0
B0FH6R5YTH,B0FC5W1QX7,"NewEleven Boss Gifts For Women, Men - Boss Birthday Card, Thank You Gift, Heartfelt Message For Leader - Appreciation Present For Manager Form Colleague, Coworker - Greeting Card",SS-6UAT-LTMJ,17,1,0.33%,1.43%,18,1,0.27%,1.12%,100.00%,100.00%,1,0,5.88%,0.00%,$4.99,$0.00,1,0
